id,area,screen,persona,story,expected,status
"UAT-ADMIN-USERS-USERS-NEW-S1","Administrator: Users","Create user","Org Admin","As an Org Admin, I want to create a user, so that I can provision access on someone's behalf.","Submitting valid input returns 201 and redirects to the new user's detail page with a Pending approval status badge.",""
"UAT-ADMIN-USERS-USERS-NEW-S2","Administrator: Users","Create user","Org Admin","As an Org Admin, I want clear validation, so that I fix mistakes before submitting.","An invalid email shows a localized field error and error border; a blank password blocks submit; a duplicate email lands the 409 error on the email field.",""
"UAT-ADMIN-USERS-USERS-NEW-S3","Administrator: Users","Create user","Limited Admin","As a Limited Admin, I want this page to be closed to me, so that I cannot create users I have no permission to create.","Navigating to /en/app/administrator/users/new returns Not Found (404), not Forbidden; no form renders.",""
"UAT-ADMIN-USERS-USERS-DETAIL-S1","Administrator: Users","User detail (header + tabs)","Org Admin","As an Org Admin, I want a user's key facts on one page, so that I can review their account at a glance.","The detail page shows display name, email, a localized status badge, and the tab bar (Overview, Roles, Groups, Memberships, Sessions, Audit).",""
"UAT-ADMIN-USERS-USERS-DETAIL-S2","Administrator: Users","User detail (header + tabs)","Cross-tenant probe","As an Org Admin, I want another tenant's user to be indistinguishable from a non-existent one, so that the app never leaks who exists elsewhere.","Requesting an org-b user's id (or an unknown/non-UUID id) as orgadmin@orga.local returns Not Found (404), never Forbidden.",""
"UAT-ADMIN-USERS-USERS-DETAIL-OVERVIEW-S1","Administrator: Users","User detail: Overview tab","Limited Admin","As a Limited Admin, I want to read a user's core identifiers, so that I can cross-reference them in logs and support tickets.","The Overview tab shows email, display name, preferred locale, the app-user id, the Better Auth id, and a created/updated footer with localized dates.",""
"UAT-ADMIN-USERS-USERS-DETAIL-ROLES-S1","Administrator: Users","User detail: Roles tab","Org Admin","As an Org Admin, I want to grant a user a role, so that they gain the capabilities that role confers.","Opening the assign dialog, picking an ORG A role, and confirming adds it to the list; Remove deletes it after reload.",""
"UAT-ADMIN-USERS-USERS-DETAIL-ROLES-S2","Administrator: Users","User detail: Roles tab","Limited Admin","As a Limited Admin, I want role changes to be unavailable, so that I cannot alter permissions I have no authority over.","The Roles tab lists assignments (read works) but shows no Assign button and no per-row Remove action.",""
"UAT-ADMIN-USERS-USERS-DETAIL-GROUPS-S1","Administrator: Users","User detail: Groups tab","Org Admin","As an Org Admin, I want to add a user to a group, so that they inherit the group's roles in one step.","Adding the user to Engineering shows the group in their list; Remove deletes it after reload; already-joined groups are excluded from the picker.",""
"UAT-ADMIN-USERS-USERS-DETAIL-GROUPS-S2","Administrator: Users","User detail: Groups tab","Limited Admin","As a Limited Admin, I want the Groups tab to reveal nothing, so that group membership stays confidential when I lack the group-read permission.","The Groups list does not load (an inline load error, since the fetch is 403 without admin.groups.read) and no add/remove controls appear.",""
"UAT-ADMIN-USERS-USERS-DETAIL-MEMBERSHIPS-S1","Administrator: Users","User detail: Memberships tab","Org Admin","As an Org Admin, I want to see and manage a user's org memberships, so that I can correct their tenancy.","The Memberships tab lists memberships with status badges and org links; Remove deletes a membership after confirming.",""
"UAT-ADMIN-USERS-USERS-DETAIL-MEMBERSHIPS-S2","Administrator: Users","User detail: Memberships tab","Limited Admin","As a Limited Admin, I want membership removal to be unavailable, so that I cannot change tenancy without the update permission.","The Memberships tab lists memberships (read works) but shows no per-row Remove action.",""
"UAT-ADMIN-USERS-USERS-DETAIL-SESSIONS-S1","Administrator: Users","User detail: Sessions tab","Org Admin","As an Org Admin, I want to revoke a user's sessions, so that I can cut off access immediately if a device is compromised.","Active sessions list with expiry/IP/user agent; Revoke removes one and Revoke all clears them, signing the user out on next navigation.",""
"UAT-ADMIN-USERS-USERS-DETAIL-SESSIONS-S2","Administrator: Users","User detail: Sessions tab","Limited Admin","As a Limited Admin, I want session data to stay hidden, so that IPs and devices are not exposed without the sessions permission.","The Sessions list does not load (an inline error, since the fetch is 403 without admin.users.sessions) and no revoke controls act.",""
"UAT-ADMIN-USERS-USERS-DETAIL-AUDIT-S1","Administrator: Users","User detail: Audit tab","Org Admin","As an Org Admin, I want the history of what happened to a user, so that I can investigate incidents and support requests.","The Audit tab lists the user's events newest-first; clicking a row opens a detail sheet with actor, target, IP, user agent, reason, and JSON metadata.",""
"UAT-ADMIN-USERS-USERS-DETAIL-AUDIT-S2","Administrator: Users","User detail: Audit tab","Limited Admin","As a persona lacking audit permission, I want the Audit tab to be absent, so that audit data is gated separately from the user record.","For a persona with admin.users.read but not admin.audit.read the tab bar has no Audit tab and the per-user audit API returns 403.",""
"UAT-ADMIN-USERS-IMPERSONATE-S1","Administrator: Users","Impersonation","Impersonator","As an Org Admin, I want to act as a user to reproduce their problem, so that I can support them accurately; and I want a one-click way back.","After ticking the acknowledgement and starting, the page reloads into the dashboard as the target with a Stop impersonating banner; Stop returns to the admin account.",""
"UAT-ADMIN-USERS-IMPERSONATE-S2","Administrator: Users","Impersonation","Impersonator","As an admin, I want unsafe impersonations refused, so that impersonation cannot be used to escalate.","Impersonate is disabled on one's own detail (self), and a non-superadmin targeting a more-privileged user is refused with a 403 escalation error.",""
"UAT-JOURNEY-1","journeys","Onboarding: sign-up to first dashboard","Visitor then Org Admin","As a new user I sign up, wait on the pending-approval screen, an Org Admin approves me from the Users list, then I sign in and land on the dashboard.","New account is created as pending_approval and blocked from /app; after the Org Admin selects the row and clicks Approve the status badge shows Active; the user then signs in and lands on /app/dashboard.",""
"UAT-JOURNEY-2","journeys","Grant access via a group","Org Admin then Member","As an Org Admin I create a group, bundle a role on its Roles tab, add a member on its Members tab; the member gains the capability and the matching admin nav link appears.","The conferred role (admin.users.read) makes the Users nav link appear for the member and clicking it OPENS the users grid (it does NOT 404, because the nav key equals the page guard); removing the member from the group makes the link disappear and the page return Not Found.",""
"UAT-JOURNEY-3","journeys","Direct role assignment on the User Roles tab","Org Admin then Member","As an Org Admin I assign a role on the target user's Roles tab, verify the effective permission changes, then remove it.","Assigning the Administrator role adds it to the user's role list and makes the admin nav links appear when that user reloads; removing the role and reloading makes the links disappear, confirming the effective permission set changed.",""
"UAT-JOURNEY-4","journeys","Impersonation: impersonate, act, Stop returns to admin","Superadmin impersonating a Member","As a Superadmin I impersonate a member, act with only the member's permissions, then Stop impersonating and return to my own admin session.","After Impersonate the shell reloads as the target and admin screens 404; the impersonation banner shows a Stop button; clicking Stop restores the admin session and reloads to /app/dashboard, and admin screens open again.",""
"UAT-JOURNEY-5","journeys","SSO handoff: launch from hub, consume at /sso/confirm","Signed-in member or admin","As a signed-in user I launch an enterprise app from the Applications switcher and consume the handoff on the satellite at /sso/confirm to land signed in.","Clicking an app in the Applications sheet redirects through /api/sso/launch to the satellite; /sso/confirm shows the account email re-derived from the signed token and a Continue button; the same-origin POST burns the one-time token and signs the user in; reusing the token shows the invalid/expired screen.",""
"UAT-JOURNEY-6","journeys","API-key lifecycle: create, call, rotate, revoke, rejected","Key owner plus Machine client","As a user I create an API key, call /api/v1/me with it, rotate it, revoke it, and confirm the credential is rejected.","Create shows the drk_ secret exactly once; GET /api/v1/me with Authorization: Bearer <secret> returns 200; after rotate the new secret returns 200 while the old secret returns 401; after revoke the current secret returns 401.",""
"UAT-JOURNEY-7","journeys","Password reset: forgot, outbox email, reset, sign-in","Member plus Org Admin","As a member I request a password reset, read the reset link from the admin email outbox, reset my password, and sign in with the new one.","Forgot-password returns a neutral anti-enumeration message; a password_reset row (status logged) appears in the outbox with a /reset-password?token= link; the reset form accepts the token and a new password; the member signs in with the new password; reusing the reset link shows an expired-token message.",""
"UAT-JOURNEY-8","journeys","Org lifecycle as Superadmin: create, add members, assign roles, scope","Superadmin then new Org Admin","As a Superadmin I create an organization, add a user into it, assign an admin role, then confirm an Org Admin of that org sees only it.","Only a Superadmin can create the org (a non-superadmin API call is 403); the new user is created into the org and granted admin.platform; signing in as that Org Admin, Organizations lists only the new org, and cross-org resources return Not Found (404, not 403).",""
"UAT-JOURNEY-9","journeys","Email: edit a template incl. a non-English locale, send test, view in outbox","Org Admin or Superadmin","As an admin I edit an email template (including a non-English-locale row), send a test email from the outbox toolbar, and view the result in the outbox.","Each (key, locale) is its own editable row with an immutable key and locale; a saved edit persists; the Send test email action sends the test_email template through the outbox and its row detail shows the rendered subject and body; it works in a non-Latin UI locale with no raw message keys.",""
"UAT-JOURNEY-10","journeys","Locale switch: Preferences localizes UI and next email","Member plus Org Admin","As a member I change my preferred locale in Preferences and confirm the UI and my next email localize.","Saving a non-Latin locale refreshes the shell so navigation and headings render in that locale with no raw keys; triggering a user-addressed email (e.g. forgot-password) produces an outbox row whose subject and body are rendered in the recipient's chosen preferred locale.",""
"UAT-AUTH-LANDING-S1","Public & Auth","AUTH-LANDING","Visitor","Reach sign-up from the landing page via the create-account CTA","Clicking the create-account hero CTA navigates to /en/sign-up and the sign-up card renders",""
"UAT-AUTH-LANDING-S2","Public & Auth","AUTH-LANDING","Visitor","Open the project GitHub from the primary hero CTA","Primary hero button opens github.com/devresponse/devresponsekit in a new tab (target=_blank, rel=noopener noreferrer)",""
"UAT-AUTH-LANDING-S3","Public & Auth","AUTH-LANDING","Visitor","Switch site language from the brand bar","Choosing Ukrainian changes the URL to /uk and re-renders hero/features/stats in Ukrainian with no raw message keys",""
"UAT-AUTH-ABOUT-S1","Public & Auth","AUTH-ABOUT","Visitor","Open the About page to learn what the product is","/en/about renders an h1 brand name and a one-line placeholder description under the shared public brand bar",""
"UAT-AUTH-DOCS-PUBLIC-S1","Public & Auth","AUTH-DOCS-PUBLIC","Visitor","Open the public docs index","/en/docs renders heading Documentation and the line Public-facing documentation index for a signed-out visitor (no redirect)",""
"UAT-AUTH-LOGGED-OUT-S1","Public & Auth","AUTH-LOGGED-OUT","Member","See a confirmation and a way back in after signing out","Sign out redirects to /en/logged-out showing the You have been signed out alert with a working Sign in link",""
"UAT-AUTH-LOGGED-OUT-S2","Public & Auth","AUTH-LOGGED-OUT","Visitor","Reach the logged-out page directly","Opening /en/logged-out directly renders the same signed-out alert and Sign in link with no redirect or secure API calls",""
"UAT-AUTH-SIGNIN-S1","Public & Auth","AUTH-SIGNIN","Member","Sign in with email and password to reach the dashboard","Valid credentials sign the user in and redirect to /en/app/dashboard (sanitized returnTo default)",""
"UAT-AUTH-SIGNIN-S2","Public & Auth","AUTH-SIGNIN","Visitor","Be returned to the deep-linked secure page after signing in","Signed-out access to /en/app/workspace redirects to sign-in with returnTo; after sign-in the user lands on /en/app/workspace",""
"UAT-AUTH-SIGNIN-S3","Public & Auth","AUTH-SIGNIN","Visitor","See a generic error for a wrong password","Submitting a real email with a wrong password shows a role=alert reading Invalid email or password and stays on the sign-in page",""
"UAT-AUTH-SIGNUP-S1","Public & Auth","AUTH-SIGNUP","Visitor","Register a new account to request access","A fresh email with a password of 8+ chars creates the account and redirects to /en/pending-approval",""
"UAT-AUTH-SIGNUP-S2","Public & Auth","AUTH-SIGNUP","Visitor","Be blocked from submitting a too-short password","A password under 8 chars shows Password must be at least 8 characters under the Password field with an error border and no navigation",""
"UAT-AUTH-FORGOT-S1","Public & Auth","AUTH-FORGOT","Member","Request a password-reset link","Submitting a valid email replaces the form with the If an account exists confirmation (role=status) and records a reset email in the outbox",""
"UAT-AUTH-FORGOT-S2","Public & Auth","AUTH-FORGOT","Visitor","Get the same confirmation for an unknown email (anti-enumeration)","Submitting an email with no account shows the identical If an account exists confirmation with no user-not-found hint",""
"UAT-AUTH-RESET-S1","Public & Auth","AUTH-RESET","Member","Set a new password from a valid reset link","A valid token plus two matching 8+ char passwords resets the password and shows Your password has been updated with a Sign in link",""
"UAT-AUTH-RESET-S2","Public & Auth","AUTH-RESET","Member","Be blocked when the two passwords do not match","Two different passwords show Passwords do not match under Confirm password and the form does not submit",""
"UAT-AUTH-RESET-S3","Public & Auth","AUTH-RESET","Visitor","See an invalid-link message when no token is present","Opening /en/reset-password with no token renders This reset link is invalid or has expired plus a Request a new link to /en/forgot-password (no form)",""
"UAT-AUTH-PENDING-S1","Public & Auth","AUTH-PENDING","Pending user","Be told the account awaits approval","A signed-in pending user hitting any secure page is redirected to /en/pending-approval showing the pending alert and a Sign out button; retrying /en/app/dashboard re-redirects",""
"UAT-AUTH-BLOCKED-S1","Public & Auth","AUTH-BLOCKED","Blocked user","See a clear access-restricted message","A blocked/suspended/deactivated user hitting a secure page is redirected to /en/blocked?reason=status showing the destructive restricted alert and a Sign out button, with no moderation detail leaked",""
"UAT-AUTH-SSO-CONFIRM-S1","Public & Auth","AUTH-SSO-CONFIRM","Visitor","Confirm which account is being signed into via SSO handoff","A valid handoff token shows Confirm sign-in with the re-verified email and a Continue button; Continue POSTs same-origin to /api/sso/consume and establishes the session",""
"UAT-AUTH-SSO-CONFIRM-S2","Public & Auth","AUTH-SSO-CONFIRM","Visitor","See an invalid message for a bad or expired handoff link","A missing or tampered token renders Sign-in link invalid with a Back to sign in link and no Continue form",""
